Period,SARIMA_Forecast,Prophet_Forecast,Actual
1,382246.3462184876,440112.46368694503,236475
2,598958.3462184877,514929.2020675768,283397
3,452624.34621848766,403724.36826473265,717219
4,533907.3462184876,371446.3451662297,640494
5,339629.3462184876,157043.5848985445,1038901
6,213799.34621848766,189473.43086182297,505230
7,279828.34621848754,250155.57080238214,535445
8,401863.3462184876,287581.9097922748,496268
9,448134.34621848766,569745.0642914644,190363
10,601511.3462184877,633824.9865569326,188715
11,446696.3462184876,433415.50692211674,187478
12,487187.3462184876,379583.1387712758,297289
13,354169.34621848766,264247.9013179115,220478
